"Rok ukończenia studiów";"Rodzaj studiów";"Typ studiów";"Kierunek studiów";"Specjalność";"Jakie czynniki wpłynęły na wybór kierunku studiów";"Czy absolwent jest z wyboru kierunku studiów";"W jakim stopniu studia spełniły Pana/i oczekiwania";"Jak absolwent ocenia program studiów";"Czy wystąpiło dublowanie treści przedmiotów poczas studiów";"Ocena kompetencje nauczycieli akademickich";"Czy nauczyciele stosowali nowoczesne metody kształcenia";"Czy absolwent ponownie wybrałby WSEiZ";"Ocena zaplecza biblioteczne WSEiZ";"Ocena obsługi administracyjnej";"Ocena stan technicznego budynków w których odbywały się zajęcia";"Ocena warunków w pomieszczeniach dydaktycznych";"Ocena sprzętu dydaktycznego";"Ocena sprzętu komputerowego";"Ocena zaplecza socjalnego";"Czy ansolwent kontynuował kształcenie";"Czynniki skłaniające absolwenta do kontynuacji kształcenia";"Aktywność zawodowa podczas studiów";"Jaki jest status zawodowy absolwenta";"W jakiej instytucji pracuje absolwent";"Stanowisko pracy absolwenta";"Kiedy absolwent rozpoczął poszukiwania pierwszej pracy";"Jak długo po uzyskaniu dyplomu absolwent szukał pracy";"Przez jakie źródła informacji absolwent szukał lub znalazł pracę";"Jakie czynniki zdecydowały o zatrudnieniu absolwenta";"Czy studiów w WSEiZ było atutem w procesie rekrutacji";"Czy praca zgodna jest z kierunkiem ukończonych studiów";"Czy wykorzystuje wiedzę i umiejętności zdobyte podczas studiów";"Czy miał kontakt z Uczelnianym Biurem Karier";"Czy brał udział w konf. kursach Targach Pracy warsztatach";"Czy studia dały umiejętności poruszania się na rynku";"Płeć";"Wiek";"Miejsce zamieszkania";"nr_telefonu";"data";"3_lata";"5_lat" 
 "2009";"I stopnia";"niestacjonarne";"Ochrona Åšrodowiska";"OWIZO";"inne";"tak";"czÄ™sciowo";"spÃ³jny i wewnÄ™trznie logiczny";"tak, raczej rzadko";"wysokie";"tak, czÄ™sto";"tak";"bardzo dobre";"bardzo dobra";"5";"4";"4";"4";"5";"zakoÅ„czyÅ‚em edukacjÄ™";"nie dotyczy, nie kontynuowaÅ‚em edukacji";"praca staÅ‚a, podjÄ™ta przed rozpoczÄ™ciem studiÃ³w";"jestem zatrudniony/a";"sektor publiczny";"najwyÅ¼sza kadra zarzÄ…dzajÄ…ca (dyrektorzy / prezesi)";"w czasie trwania studiÃ³w";"pracowaÅ‚em/am juÅ¼ w czasie studiÃ³w";"ogÅ‚oszenia w prasie";"kwalifikacje zawodowe uzyskane poza programem studiÃ³w";"tak";"raczej nie";"w 75%";"nie, ale sÅ‚yszaÅ‚em/am o nim"
"2009";"I stopnia";"stacjonarne";"Architektura WnÄ™trz";"architektura wnÄ™trz";"zainteresowania";"tak";"caÅ‚kowicie";"spÃ³jny i wewnÄ™trznie logiczny";"bardzo rzadko";"zrÃ³Å¼nicowane";"tak, czÄ™sto";"tak";"dobre";"dobra";"3";"3";"3";"3";"2";"zakoÅ„czyÅ‚em edukacjÄ™";"nie dotyczy, nie kontynuowaÅ‚em edukacji";"nie pracowaÅ‚em/am w ogÃ³le";"prowadzÄ™ wÅ‚asnÄ… dziaÅ‚alnoÅ›Ä‡";"sektor prywatny - zatrudnia mniej niÅ¼ 10 pracownikÃ³w";"wÅ‚asna dziaÅ‚alnoÅ›Ä‡ gospodarcza";"w czasie trwania studiÃ³w";"mniej niÅ¼ 1 miesiÄ…c";"ogÅ‚oszenia w internecie";"doÅ›wiadczenie zawodowe - wczeÅ›niejszy kontakt z praktykÄ…";"tak";"zdecydowanie tak";"w 100%";"nie"
"2009";"I stopnia";"niestacjonarne";"ZarzÄ…dzanie";"";"zainteresowania";"tak";"caÅ‚kowicie";"spÃ³jny i wewnÄ™trznie logiczny";"bardzo rzadko";"wysokie";"tak, raczej rzadko";"tak";"dobre";"bardzo dobra";"4";"4";"5";"5";"4";"zakoÅ„czyÅ‚em edukacjÄ™";"nie dotyczy, nie kontynuowaÅ‚em edukacji";"praca staÅ‚a, podjÄ™ta przed rozpoczÄ™ciem studiÃ³w";"prowadzÄ™ wÅ‚asnÄ… dziaÅ‚alnoÅ›Ä‡";"sektor prywatny - zatrudnia mniej niÅ¼ 10 pracownikÃ³w";"wÅ‚asna dziaÅ‚alnoÅ›Ä‡ gospodarcza";"w czasie trwania studiÃ³w";"pracowaÅ‚em/am juÅ¼ w czasie studiÃ³w";"bezpoÅ›redni kontakt z pracodawcÄ…";"doÅ›wiadczenie zawodowe - wczeÅ›niejszy kontakt z praktykÄ…";"trudno powiedzieÄ‡";"zdecydowanie tak";"w 75%";"nie"
"2007";"I stopnia";"stacjonarne";"Ochrona Åšrodowiska";"";"zainteresowania";"tak";"caÅ‚kowicie";"spÃ³jny i wewnÄ™trznie logiczny";"bardzo rzadko";"wysokie";"tak, czÄ™sto";"tak";"bardzo dobre";"dobra";"5";"5";"4";"3";"4";"tak, na studiach II stopnia (magisterskich)";"pogÅ‚Ä™bienie wiedzy kierunkowej";"praca staÅ‚a, podjÄ™ta w trakcie studiÃ³w";"jestem zatrudniony/a";"sektor prywatny - zatrudnia mniej niÅ¼ 50 pracownikÃ³w";"specjaliÅ›ci i inni pracownicy samodzielni";"po obronie";"2-6 miesiÄ™cy";"wszystkie moÅ¼liwoÅ›ci";"kwalifikacje zawodowe uzyskane na studiach";"nie";"raczej tak";"w 75%";"nie"
"2009";"I stopnia";"stacjonarne";"Architektura i Urbanistyka";"Urbanistyka";"sugestie bliskich osÃ³b";"raczej tak";"czÄ™Å›ciowo";"zÅ‚oÅ¼ony ze sÅ‚abo ze sobÄ… powiÄ…zanych przedmiotÃ³w";"tak, czÄ™sto";"wysokie";"tak, czÄ™sto";"tak";"bardzo dobre";"bardzo dobra";"3";"2";"5";"5";"4";"zakoÅ„czyÅ‚em edukacjÄ™";"nie dotyczy, nie kontynuowaÅ‚em edukacji";"nie pracowaÅ‚em/am w ogÃ³le";"poszukujÄ™ pracy";"nie dotyczy, nie jestem zatrudniony/a";"nie dotyczy, nie jestem zatrudniony/a";"w czasie trwania studiÃ³w";"pracowaÅ‚em/am juÅ¼ w czasie studiÃ³w";"ogÅ‚oszenia w prasie";"ukoÅ„czony kierunek studiÃ³w";"tak";"zdecydowanie tak";"w 100%";"tak"
"2007";"I stopnia";"stacjonarne";"Architektura i Urbanistyka";"urbanistyka";"zainteresowania";"tak";"caÅ‚kowicie";"spÃ³jny i wewnÄ™trznie logiczny";"nie";"wysokie";"tak, czÄ™sto";"tak";"dobre";"dobra";"5";"5";"5";"5";"5";"tak, na studiach II stopnia (magisterskich)";"pogÅ‚Ä™bienie wiedzy kierunkowej";"praca dorywcza";"jestem zatrudniony/a";"sektor prywatny - zatrudnia mniej niÅ¼ 10 pracownikÃ³w";"menadÅ¼erowie Å›redniego szczebla (kierownicy)";"w czasie trwania studiÃ³w";"pracowaÅ‚em/am juÅ¼ w czasie studiÃ³w";"wszystkie moÅ¼liwoÅ›ci";"ukoÅ„czony kierunek studiÃ³w";"nie";"zdecydowanie tak";"w 75%";"nie"
"2009";"I stopnia";"stacjonarne";"Ochrona Åšrodowiska";"Ochrona wÃ³d i zagospodarowanie odpadÃ³w";"przypadek";"tak";"w wiÄ™kszym niÅ¼ siÄ™ spodziewaÅ‚em";"spÃ³jny i wewnÄ™trznie logiczny";"bardzo rzadko";"wysokie";"tak, raczej rzadko";"tak";"bardzo dobre";"bardzo dobra";"3";"2";"3";"3";"3";"tak, na studiach II stopnia (magisterskich)";"uzyskanie wiedzy z dodatkowej dziedziny";"praca staÅ‚a, podjÄ™ta przed rozpoczÄ™ciem studiÃ³w";"jestem zatrudniony/a";"sektor publiczny";"specjaliÅ›ci i inni pracownicy samodzielni";"przed obronÄ…";"pracowaÅ‚em/am juÅ¼ w czasie studiÃ³w";"ogÅ‚oszenia w prasie";"doÅ›wiadczenie zawodowe - wczeÅ›niejszy kontakt z praktykÄ…";"tak";"raczej nie";"w 50%";"nie, ale sÅ‚yszaÅ‚em/am o nim"
"2007";"II stopnia";"stacjonarne";"ZarzÄ…dzanie";"BHP";"zainteresowania";"tak";"w wiÄ™kszym niÅ¼ siÄ™ spodziewaÅ‚em";"spÃ³jny i wewnÄ™trznie logiczny";"nie";"wysokie";"tak, czÄ™sto";"tak";"bardzo dobre";"bardzo dobra";"4";"5";"5";"4";"5";"zakoÅ„czyÅ‚em edukacjÄ™";"nie dotyczy, nie kontynuowaÅ‚em edukacji";"praca staÅ‚a, podjÄ™ta przed rozpoczÄ™ciem studiÃ³w";"jestem zatrudniony/a";"sektor publiczny";"specjaliÅ›ci i inni pracownicy samodzielni";"w czasie trwania studiÃ³w";"pracowaÅ‚em/am juÅ¼ w czasie studiÃ³w";"ogÅ‚oszenia w internecie";"doÅ›wiadczenie zawodowe - wczeÅ›niejszy kontakt z praktykÄ…";"tak";"raczej nie";"w 100%";"nie"
"2009";"I stopnia";"stacjonarne";"Ochrona Åšrodowiska";"";"zainteresowania";"tak";"caÅ‚kowicie";"spÃ³jny i wewnÄ™trznie logiczny";"bardzo rzadko";"raczej wysokie";"tak, czÄ™sto";"tak";"odpowiednie";"dobra";"5";"4";"4";"4";"5";"zakoÅ„czyÅ‚em edukacjÄ™";"nie dotyczy, nie kontynuowaÅ‚em edukacji";"praca staÅ‚a, podjÄ™ta przed rozpoczÄ™ciem studiÃ³w";"prowadzÄ™ wÅ‚asnÄ… dziaÅ‚alnoÅ›Ä‡";"sektor prywatny - zatrudnia mniej niÅ¼ 10 pracownikÃ³w";"personel biurowy";"po obronie";"6-12 miesiÄ™cy";"ogÅ‚oszenia w internecie";"motywacja do pracy";"trudno powiedzieÄ‡";"zdecydowanie nie";"w 25%";"nie"
"2009";"I stopnia";"niestacjonarne";"ZarzÄ…dzanie i InÅ¼ynieria Produkcji";"";"inne";"tak";"czÄ™Å›ciowo";"spÃ³jny i wewnÄ™trznie logiczny";"tak, czÄ™sto";"raczej wysokie";"bardzo rzadko";"tak";"dobre";"dobra";"5";"4";"4";"4";"4";"tak, na studiach podyplomowych";"pogÅ‚Ä™bienie wiedzy kierunkowej";"praca staÅ‚a, podjÄ™ta przed rozpoczÄ™ciem studiÃ³w";"jestem zatrudniony/a";"sektor prywatny - zatrudnia wiÄ™cej niÅ¼ 250 pracownikÃ³w";"najwyÅ¼sza kadra zarzÄ…dzajÄ…ca (dyrektorzy / prezesi)";"w czasie trwania studiÃ³w";"pracowaÅ‚em/am juÅ¼ w czasie studiÃ³w";"ogÅ‚oszenia w internecie";"kwalifikacje zawodowe uzyskane poza programem studiÃ³w";"nie";"zdecydowanie nie";"w 25%";"nie"
